hashtag,created_at,text,source,geo,user_id,user_location,user_followers,user_friends,retweet
hoyasaxa,2020-02-15 22:30:28,b'RT @GeorgetownHoops: TERRELL ALLEN!! A clutch 3-pointer as the shot clock expires extends the #Hoyas lead. 69-60 with 36 seconds left. #HOY\xe2\x80\xa6',Twitter Web App,,884885796,,6789,5026,60
hoyasaxa,2020-02-15 22:29:57,b'Navy rallied to defeat the #Hoyas despite a strong effort from Anthony Redfern and another HR by AJ Lotsis.\xe2\x80\xa6 https://t.co/SffVTuzkIK',TweetDeck,,123307870,Washington D.C.,8748,109,0
hoyasaxa,2020-02-15 22:26:08,"b'Final score here in Catonsville - #Hoyas 14, UMBC 8\nCarraway - 4 goals, 3 assists\nReilly - 19/24 faceoffs, 12 groun\xe2\x80\xa6 https://t.co/dKgz2NwiBG'",Box Out Sports,,622264037,Cooper Field and TAC,12423,161,9
hoyasaxa,2020-02-15 22:25:12,b'RT @BIGEASTMBB: Terrell Allen \xf0\x9f\x8e\xaf\n\n@GeorgetownHoops can feel it!\n\n#HoyaSaxa // #BIGEASThoops https://t.co/rYXEpMb3G1',Twitter for iPhone,,95335856,,3045,633,8
hoyasaxa,2020-02-15 22:22:07,"b'RT @GeorgetownHoops: HOYAS WIN!! HOYAS WIN!! HOYAS WIN!! The #Hoyas take down No. 19/20 Butler on the road, 73-66. \nAllen ties career high\xe2\x80\xa6'",Twitter for iPhone,,30077231,"Detroit, MI",3915,3330,95
hoyasaxa,2020-02-15 22:21:27,"b'RT @GeorgetownHoops: HOYAS WIN!! HOYAS WIN!! HOYAS WIN!! The #Hoyas take down No. 19/20 Butler on the road, 73-66. \nAllen ties career high\xe2\x80\xa6'",Twitter for iPhone,,354631186,The OC part of LA County,2371,4997,95
hoyasaxa,2020-02-15 22:20:42,b'RT @GeorgetownHoops: TERRELL ALLEN!! A clutch 3-pointer as the shot clock expires extends the #Hoyas lead. 69-60 with 36 seconds left. #HOY\xe2\x80\xa6',Twitter for iPhone,,34389938,"Washington, DC",2891,1707,60
hoyasaxa,2020-02-15 22:18:38,"b'RT @GeorgetownHoops: HOYAS WIN!! HOYAS WIN!! HOYAS WIN!! The #Hoyas take down No. 19/20 Butler on the road, 73-66. \nAllen ties career high\xe2\x80\xa6'",Twitter for iPhone,,34389938,"Washington, DC",2891,1707,95
hoyasaxa,2020-02-15 22:16:42,b'RT @GeorgetownHoops: TERRELL ALLEN!! A clutch 3-pointer as the shot clock expires extends the #Hoyas lead. 69-60 with 36 seconds left. #HOY\xe2\x80\xa6',Twitter for iPhone,,81131929,"Washington, DC",4040,139,60
hoyasaxa,2020-02-15 22:16:21,b'RT @EarlDosSantos: Patrick Ewing just schooled LaVall Jordan &amp; Butler at Hinkle Fieldhouse! \n\nBiggest win of the year for the @CoachEwing33\xe2\x80\xa6',Twitter Web App,,2169233034,"Philadelphia, PA",321,407,11
