georgetownuniversity,2020-02-15 19:19:12,"b'RT @HilltopShow: Good morning from the Hilltop Show, your friendly neighborhood ""crack research team,"" as we have now been dubbed by @Breit\xe2\x80\xa6'",Twitter for iPhone,,906623125,"Georgetown, Washington",435,1663,2
georgetownuniversity,2020-02-15 17:48:07,"b'RT @HilltopShow: Good morning from the Hilltop Show, your friendly neighborhood ""crack research team,"" as we have now been dubbed by @Breit\xe2\x80\xa6'",Twitter for iPhone,,959033079426965506,she/her // #LWithTheT,108,1048,2
georgetownuniversity,2020-02-15 17:25:51,"b'Good morning from the Hilltop Show, your friendly neighborhood ""crack research team,"" as we have now been dubbed by\xe2\x80\xa6 https://t.co/NExoBDZrZ2'",Twitter Web App,,1137504247996669952,"Washington, D.C.",94,420,2
georgetownuniversity,2020-02-15 14:19:44,"b'Fascism comes to #GeorgetownUniversity libraries...https://t.co/tXVG2VIYeX\nThis is how Hitler, Mao, Lenin, Stalin a\xe2\x80\xa6 https://t.co/fPFSjZyGX5'",Twitter Web App,,244674034,New Hampshire,1602,1543,0
georgetownuniversity,2020-02-15 13:10:28,b'Why would #GeorgetownUniversity re-litigate the #HamasTerrorist trial?\nhttps://t.co/N3yZvlpwka #tcot #HolyLandFoundation',Western Free Press,,161533318,"Arizona, National",4541,3811,0
georgetownuniversity,2020-02-15 08:12:23,b'RT @EJinAction: Breaking: #GeorgetownUniversity Commits to #FossilFuels #Divestment of $1.662 billion. Together We Can Win On The #ClimateC\xe2\x80\xa6',Twitter for iPhone,,2436395466,"Grand Rapids, MI",949,1393,21
georgetownuniversity,2020-02-15 04:48:08,b'@BreitbartNews This is what #totalitarianism looks like.  Hitler\xe2\x80\x99s brown shirts banned/burned books as well.  #GeorgetownUniversity #Fascism',Twitter for iPhone,,1131006164823695360,Terra,0,37,0
georgetownuniversity,2020-02-14 21:43:06,"b""It's Valentine's Day, and college students are asked if they'd date those with opposite political views \xe2\x80\x94 i.e., Tru\xe2\x80\xa6 https://t.co/GvWzzZojPV""",dlvr.it,,312149882,"Philadelphia PA, USA",77603,44498,0
georgetownuniversity,2020-02-14 21:17:12,b'PLEASE READ and investigated or yourselves..trust nobody ....dig deeper into the deep state \xf0\x9f\xa7\x90\xf0\x9f\xa7\x90\xf0\x9f\xa7\x90.\xe2\x80\xa6 https://t.co/5A7nnRY3Qx',Twitter for iPhone,,1209575029995913216,,182,505,0
georgetownuniversity,2020-02-14 18:10:50,b'#Repost ihamodelun\n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nReady for Session II at @naimun @TheIHANJ #naimunlvii #georgetownuniversity \xf0\x9f\x92\x99\xf0\x9f\xa6\x85 Good luck to\xe2\x80\xa6 https://t.co/MzJJMlG1ST',Instagram,,44904240,"Washington Township, NJ",1307,215,0
georgetownuniversity,2020-02-14 16:11:29,"b""RT @HilltopShow: so @TheWhiteRoseGU this isn't one of the 13, is it? ok just checking \xf0\x9f\x8c\xbc\n\nTune in for our interview with a Georgetown secret\xe2\x80\xa6""",Twitter Web App,,906623125,"Georgetown, Washington",435,1663,1
georgetownuniversity,2020-02-14 16:10:59,"b""so @TheWhiteRoseGU this isn't one of the 13, is it? ok just checking \xf0\x9f\x8c\xbc\n\nTune in for our interview with a Georgetown\xe2\x80\xa6 https://t.co/pTsfP0U5t9""",Twitter Web App,,1137504247996669952,"Washington, D.C.",94,420,1
georgetownuniversity,2020-02-14 14:14:54,b'Our team is thrilled to be featured in the Spring 2020 Georgetown Library Showcase!\n\nCheck out our first investigat\xe2\x80\xa6 https://t.co/NtX29kG1f8',Twitter Web App,,1137504247996669952,"Washington, D.C.",94,420,0
georgetownuniversity,2020-02-14 14:14:20,b'The @HilltopShow team is thrilled to be featured in the Spring 2020 Georgetown Library Showcase!\n\nCheck out our fir\xe2\x80\xa6 https://t.co/0hSatmJ2mn',Twitter Web App,,906623125,"Georgetown, Washington",435,1663,0
georgetownuniversity,2020-02-14 14:12:42,b'Be sure to vote for the \n@HilltopShow in the annual Georgetown Library Showcase Showdown by Feb. 28th!\xe2\x80\xa6 https://t.co/zFZJowVRrU',Twitter Web App,,906623125,"Georgetown, Washington",435,1663,0
georgetownuniversity,2020-02-14 14:08:29,b'Be sure to vote for The Hilltop Show in the annual Georgetown Library Showcase contest by Feb. 28th!\xe2\x80\xa6 https://t.co/fYNRasSzAQ',Twitter Web App,,1137504247996669952,"Washington, D.C.",94,420,0
georgetownuniversity,2020-02-14 11:18:35,b'@campusreform It\xe2\x80\x99s so cute how students at #GeorgetownUniversity think that @realDonaldTrump supporters would want\xe2\x80\xa6 https://t.co/s9ppE4jnY0',Twitter for iPhone,,2179012138,,2416,3916,0
georgetownuniversity,2020-02-12 14:02:27,"b'RT @scripta_bene: Cover art for the upcoming February 2020 issue of the @georgetownindy , Georgetown\xe2\x80\x99s arts and culture journal! #georgetow\xe2\x80\xa6'",Twitter for iPhone,,369855654,"Washington, D.C.",174,112,1
georgetownuniversity,2020-02-12 14:01:58,"b'Cover art for the upcoming February 2020 issue of the @georgetownindy , Georgetown\xe2\x80\x99s arts and culture journal!\xe2\x80\xa6 https://t.co/X1Q8YLQjZR'",Twitter for iPhone,,906623125,"Georgetown, Washington",435,1663,1
georgetownuniversity,2020-02-12 11:41:29,b'RT @igor_os777: Quantum computers flip the script on spin chemistry. https://t.co/ZKmygKtDNj Although classical computers have served this\xe2\x80\xa6',Twitter for Android,,602260587,Nigeria,786,1174,2
georgetownuniversity,2020-02-12 11:22:09,b'RT @igor_os777: Quantum computers flip the script on spin chemistry. https://t.co/ZKmygKtDNj Although classical computers have served this\xe2\x80\xa6',Twitter for Android,,3413623834,LGW,109,883,2
georgetownuniversity,2020-02-12 11:10:01,b'Quantum computers flip the script on spin chemistry. https://t.co/ZKmygKtDNj Although classical computers have serv\xe2\x80\xa6 https://t.co/HXqfy2ujEN',tweet-bash,,948014469044678656,"Delaware, USA",4909,1999,2
georgetownuniversity,2020-02-12 10:46:58,b'RT @bahrainfintech_: Register your interest now to cohort three of the Georgetown #FinTech Program and secure your seat today!\n\nRegister he\xe2\x80\xa6',Twitter for Android,,991235382879518720,"Exeter (NSW), New South Wales",2934,4944,3
georgetownuniversity,2020-02-12 07:07:59,b'RT @bahrainfintech_: Register your interest now to cohort three of the Georgetown #FinTech Program and secure your seat today!\n\nRegister he\xe2\x80\xa6',fintrt,,2933447393,LON | NYC | HKG  | SYD | SIN,26792,2476,3
georgetownuniversity,2020-02-12 07:07:40,b'RT @bahrainfintech_: Register your interest now to cohort three of the Georgetown #FinTech Program and secure your seat today!\n\nRegister he\xe2\x80\xa6',Twitter Web App,,3104175973,Singapore,6511,4791,3
